"Statistic Label","Quarter","Domestic","Reason for Journey","UNIT","VALUE"
"Number of Trips by Irish Residents","2002Q2","Domestic","Visiting friends/relatives","Thousand","467"
"Number of Trips by Irish Residents","2002Q2","Domestic","Other reasons","Thousand","184"
"Number of Trips by Irish Residents","2002Q2","Outbound","All reasons for journey","Thousand","1177"
"Number of Trips by Irish Residents","2002Q2","Outbound","Holiday","Thousand","771"
"Number of Trips by Irish Residents","2002Q2","Outbound","Business","Thousand","145"
"Number of Trips by Irish Residents","2002Q2","Outbound","Visiting friends/relatives","Thousand","181"
"Number of Trips by Irish Residents","2002Q2","Outbound","Other reasons","Thousand","79"
"Number of Trips by Irish Residents","2002Q3","Domestic","All reasons for journey","Thousand","2070"
"Number of Trips by Irish Residents","2002Q3","Domestic","Holiday","Thousand","1179"
"Number of Trips by Irish Residents","2002Q3","Domestic","Business","Thousand","123"
"Number of Trips by Irish Residents","2002Q3","Domestic","Visiting friends/relatives","Thousand","541"
"Number of Trips by Irish Residents","2002Q3","Domestic","Other reasons","Thousand","227"
"Number of Trips by Irish Residents","2002Q3","Outbound","All reasons for journey","Thousand","1539"
"Number of Trips by Irish Residents","2002Q3","Outbound","Holiday","Thousand","1112"
"Number of Trips by Irish Residents","2002Q3","Outbound","Business","Thousand","140"
"Number of Trips by Irish Residents","2002Q3","Outbound","Visiting friends/relatives","Thousand","211"
"Number of Trips by Irish Residents","2002Q3","Outbound","Other reasons","Thousand","77"
"Number of Trips by Irish Residents","2002Q4","Domestic","All reasons for journey","Thousand","1575"
"Number of Trips by Irish Residents","2002Q4","Domestic","Holiday","Thousand","504"
"Number of Trips by Irish Residents","2002Q4","Domestic","Business","Thousand","174"
"Number of Trips by Irish Residents","2002Q4","Domestic","Visiting friends/relatives","Thousand","697"
"Number of Trips by Irish Residents","2002Q4","Domestic","Other reasons","Thousand","200"
"Number of Trips by Irish Residents","2002Q4","Outbound","All reasons for journey","Thousand","997"
"Number of Trips by Irish Residents","2002Q4","Outbound","Holiday","Thousand","491"
"Number of Trips by Irish Residents","2002Q4","Outbound","Business","Thousand","160"
"Number of Trips by Irish Residents","2002Q4","Outbound","Visiting friends/relatives","Thousand","275"
"Number of Trips by Irish Residents","2002Q4","Outbound","Other reasons","Thousand","71"
"Number of Trips by Irish Residents","2003Q1","Domestic","All reasons for journey","Thousand","1447"
"Number of Trips by Irish Residents","2003Q1","Domestic","Holiday","Thousand","536"
"Number of Trips by Irish Residents","2003Q1","Domestic","Business","Thousand","167"
"Number of Trips by Irish Residents","2003Q1","Domestic","Visiting friends/relatives","Thousand","568"
"Number of Trips by Irish Residents","2003Q1","Domestic","Other reasons","Thousand","175"
"Number of Trips by Irish Residents","2003Q1","Outbound","All reasons for journey","Thousand","954"
"Number of Trips by Irish Residents","2003Q1","Outbound","Holiday","Thousand","533"
"Number of Trips by Irish Residents","2003Q1","Outbound","Business","Thousand","147"
"Number of Trips by Irish Residents","2003Q1","Outbound","Visiting friends/relatives","Thousand","193"
"Number of Trips by Irish Residents","2003Q1","Outbound","Other reasons","Thousand","81"
"Number of Trips by Irish Residents","2003Q2","Domestic","All reasons for journey","Thousand","1509"
"Number of Trips by Irish Residents","2003Q2","Domestic","Holiday","Thousand","657"
"Number of Trips by Irish Residents","2003Q2","Domestic","Business","Thousand","136"
"Number of Trips by Irish Residents","2003Q2","Domestic","Visiting friends/relatives","Thousand","498"
"Number of Trips by Irish Residents","2003Q2","Domestic","Other reasons","Thousand","219"
"Number of Trips by Irish Residents","2003Q2","Outbound","All reasons for journey","Thousand","1330"
"Number of Trips by Irish Residents","2003Q2","Outbound","Holiday","Thousand","897"
"Number of Trips by Irish Residents","2003Q2","Outbound","Business","Thousand","157"
"Number of Trips by Irish Residents","2003Q2","Outbound","Visiting friends/relatives","Thousand","193"
"Number of Trips by Irish Residents","2003Q2","Outbound","Other reasons","Thousand","84"
"Number of Trips by Irish Residents","2003Q3","Domestic","All reasons for journey","Thousand","2087"
"Number of Trips by Irish Residents","2003Q3","Domestic","Holiday","Thousand","1199"
"Number of Trips by Irish Residents","2003Q3","Domestic","Business","Thousand","140"
"Number of Trips by Irish Residents","2003Q3","Domestic","Visiting friends/relatives","Thousand","516"
"Number of Trips by Irish Residents","2003Q3","Domestic","Other reasons","Thousand","233"
"Number of Trips by Irish Residents","2003Q3","Outbound","All reasons for journey","Thousand","1595"
"Number of Trips by Irish Residents","2003Q3","Outbound","Holiday","Thousand","1142"
"Number of Trips by Irish Residents","2003Q3","Outbound","Business","Thousand","159"
"Number of Trips by Irish Residents","2003Q3","Outbound","Visiting friends/relatives","Thousand","220"
"Number of Trips by Irish Residents","2003Q3","Outbound","Other reasons","Thousand","74"
"Number of Trips by Irish Residents","2003Q4","Domestic","All reasons for journey","Thousand","1614"
"Number of Trips by Irish Residents","2003Q4","Domestic","Holiday","Thousand","541"
"Number of Trips by Irish Residents","2003Q4","Domestic","Business","Thousand","176"
"Number of Trips by Irish Residents","2003Q4","Domestic","Visiting friends/relatives","Thousand","709"
"Number of Trips by Irish Residents","2003Q4","Domestic","Other reasons","Thousand","188"
"Number of Trips by Irish Residents","2003Q4","Outbound","All reasons for journey","Thousand","1095"
"Number of Trips by Irish Residents","2003Q4","Outbound","Holiday","Thousand","590"
"Number of Trips by Irish Residents","2003Q4","Outbound","Business","Thousand","158"
"Number of Trips by Irish Residents","2003Q4","Outbound","Visiting friends/relatives","Thousand","271"
"Number of Trips by Irish Residents","2003Q4","Outbound","Other reasons","Thousand","76"
"Number of Trips by Irish Residents","2004Q1","Domestic","All reasons for journey","Thousand","1585"
"Number of Trips by Irish Residents","2004Q1","Domestic","Holiday","Thousand","572"
"Number of Trips by Irish Residents","2004Q1","Domestic","Business","Thousand","183"
"Number of Trips by Irish Residents","2004Q1","Domestic","Visiting friends/relatives","Thousand","658"
"Number of Trips by Irish Residents","2004Q1","Domestic","Other reasons","Thousand","172"
"Number of Trips by Irish Residents","2004Q1","Outbound","All reasons for journey","Thousand","1069"
"Number of Trips by Irish Residents","2004Q1","Outbound","Holiday","Thousand","582"
"Number of Trips by Irish Residents","2004Q1","Outbound","Business","Thousand","197"
"Number of Trips by Irish Residents","2004Q1","Outbound","Visiting friends/relatives","Thousand","214"
"Number of Trips by Irish Residents","2004Q1","Outbound","Other reasons","Thousand","75"
"Number of Trips by Irish Residents","2004Q2","Domestic","All reasons for journey","Thousand","1533"
"Number of Trips by Irish Residents","2004Q2","Domestic","Holiday","Thousand","723"
"Number of Trips by Irish Residents","2004Q2","Domestic","Business","Thousand","163"
"Number of Trips by Irish Residents","2004Q2","Domestic","Visiting friends/relatives","Thousand","475"
"Number of Trips by Irish Residents","2004Q2","Domestic","Other reasons","Thousand","173"
"Number of Trips by Irish Residents","2004Q2","Outbound","All reasons for journey","Thousand","1425"
"Number of Trips by Irish Residents","2004Q2","Outbound","Holiday","Thousand","953"
"Number of Trips by Irish Residents","2004Q2","Outbound","Business","Thousand","153"
"Number of Trips by Irish Residents","2004Q2","Outbound","Visiting friends/relatives","Thousand","242"
"Number of Trips by Irish Residents","2004Q2","Outbound","Other reasons","Thousand","77"
"Number of Trips by Irish Residents","2004Q3","Domestic","All reasons for journey","Thousand","2167"
"Number of Trips by Irish Residents","2004Q3","Domestic","Holiday","Thousand","1239"
"Number of Trips by Irish Residents","2004Q3","Domestic","Business","Thousand","129"
