"Statistic Label","Quarter","Domestic","Reason for Journey","UNIT","VALUE"
"Number of Nights by Irish Residents","2020Q1","Domestic","Business","Thousand","238"
"Number of Nights by Irish Residents","2020Q1","Domestic","Visiting friends/relatives","Thousand","1698"
"Number of Nights by Irish Residents","2020Q1","Domestic","Other reasons","Thousand","695"
"Number of Nights by Irish Residents","2020Q1","Outbound","All reasons for journey","Thousand","10082"
"Number of Nights by Irish Residents","2020Q1","Outbound","Holiday","Thousand","4934"
"Number of Nights by Irish Residents","2020Q1","Outbound","Business","Thousand","763"
"Number of Nights by Irish Residents","2020Q1","Outbound","Visiting friends/relatives","Thousand","3607"
"Number of Nights by Irish Residents","2020Q1","Outbound","Other reasons","Thousand","778"
"Number of Nights by Irish Residents","2020Q2","Domestic","All reasons for journey","Thousand","875"
"Number of Nights by Irish Residents","2020Q2","Domestic","Holiday","Thousand",""
"Number of Nights by Irish Residents","2020Q2","Domestic","Business","Thousand",""
"Number of Nights by Irish Residents","2020Q2","Domestic","Visiting friends/relatives","Thousand",""
"Number of Nights by Irish Residents","2020Q2","Domestic","Other reasons","Thousand",""
"Number of Nights by Irish Residents","2020Q2","Outbound","All reasons for journey","Thousand","427"
"Number of Nights by Irish Residents","2020Q2","Outbound","Holiday","Thousand",""
"Number of Nights by Irish Residents","2020Q2","Outbound","Business","Thousand",""
"Number of Nights by Irish Residents","2020Q2","Outbound","Visiting friends/relatives","Thousand",""
"Number of Nights by Irish Residents","2020Q2","Outbound","Other reasons","Thousand",""
"Number of Nights by Irish Residents","2020Q3","Domestic","All reasons for journey","Thousand","14777"
"Number of Nights by Irish Residents","2020Q3","Domestic","Holiday","Thousand","10801"
"Number of Nights by Irish Residents","2020Q3","Domestic","Business","Thousand","115"
"Number of Nights by Irish Residents","2020Q3","Domestic","Visiting friends/relatives","Thousand","3633"
"Number of Nights by Irish Residents","2020Q3","Domestic","Other reasons","Thousand","228"
"Number of Nights by Irish Residents","2020Q3","Outbound","All reasons for journey","Thousand","3820"
"Number of Nights by Irish Residents","2020Q3","Outbound","Holiday","Thousand",""
"Number of Nights by Irish Residents","2020Q3","Outbound","Business","Thousand",""
"Number of Nights by Irish Residents","2020Q3","Outbound","Visiting friends/relatives","Thousand",""
"Number of Nights by Irish Residents","2020Q3","Outbound","Other reasons","Thousand",""
"Number of Nights by Irish Residents","2020Q4","Domestic","All reasons for journey","Thousand","3333"
"Number of Nights by Irish Residents","2020Q4","Domestic","Holiday","Thousand","633"
"Number of Nights by Irish Residents","2020Q4","Domestic","Business","Thousand","167"
"Number of Nights by Irish Residents","2020Q4","Domestic","Visiting friends/relatives","Thousand","1674"
"Number of Nights by Irish Residents","2020Q4","Domestic","Other reasons","Thousand","859"
"Number of Nights by Irish Residents","2020Q4","Outbound","All reasons for journey","Thousand","1268"
"Number of Nights by Irish Residents","2020Q4","Outbound","Holiday","Thousand",""
"Number of Nights by Irish Residents","2020Q4","Outbound","Business","Thousand",""
"Number of Nights by Irish Residents","2020Q4","Outbound","Visiting friends/relatives","Thousand",""
"Number of Nights by Irish Residents","2020Q4","Outbound","Other reasons","Thousand",""
"Number of Nights by Irish Residents","2021Q1","Domestic","All reasons for journey","Thousand","1123"
"Number of Nights by Irish Residents","2021Q1","Domestic","Holiday","Thousand","24"
"Number of Nights by Irish Residents","2021Q1","Domestic","Business","Thousand","76"
"Number of Nights by Irish Residents","2021Q1","Domestic","Visiting friends/relatives","Thousand","643"
"Number of Nights by Irish Residents","2021Q1","Domestic","Other reasons","Thousand","381"
"Number of Nights by Irish Residents","2021Q1","Outbound","All reasons for journey","Thousand","1367"
"Number of Nights by Irish Residents","2021Q1","Outbound","Holiday","Thousand","162"
"Number of Nights by Irish Residents","2021Q1","Outbound","Business","Thousand","100"
"Number of Nights by Irish Residents","2021Q1","Outbound","Visiting friends/relatives","Thousand","73"
"Number of Nights by Irish Residents","2021Q1","Outbound","Other reasons","Thousand","1031"
"Number of Nights by Irish Residents","2021Q2","Domestic","All reasons for journey","Thousand","2968"
"Number of Nights by Irish Residents","2021Q2","Domestic","Holiday","Thousand","1425"
"Number of Nights by Irish Residents","2021Q2","Domestic","Business","Thousand","67"
"Number of Nights by Irish Residents","2021Q2","Domestic","Visiting friends/relatives","Thousand","1123"
"Number of Nights by Irish Residents","2021Q2","Domestic","Other reasons","Thousand","353"
"Number of Nights by Irish Residents","2021Q2","Outbound","All reasons for journey","Thousand","1706"
"Number of Nights by Irish Residents","2021Q2","Outbound","Holiday","Thousand","95"
"Number of Nights by Irish Residents","2021Q2","Outbound","Business","Thousand","49"
"Number of Nights by Irish Residents","2021Q2","Outbound","Visiting friends/relatives","Thousand","177"
"Number of Nights by Irish Residents","2021Q2","Outbound","Other reasons","Thousand","1385"
"Number of Nights by Irish Residents","2021Q3","Domestic","All reasons for journey","Thousand","10043"
"Number of Nights by Irish Residents","2021Q3","Domestic","Holiday","Thousand","7922"
"Number of Nights by Irish Residents","2021Q3","Domestic","Business","Thousand","60"
"Number of Nights by Irish Residents","2021Q3","Domestic","Visiting friends/relatives","Thousand","1739"
"Number of Nights by Irish Residents","2021Q3","Domestic","Other reasons","Thousand","322"
"Number of Nights by Irish Residents","2021Q3","Outbound","All reasons for journey","Thousand","7116"
"Number of Nights by Irish Residents","2021Q3","Outbound","Holiday","Thousand","3848"
"Number of Nights by Irish Residents","2021Q3","Outbound","Business","Thousand","205"
"Number of Nights by Irish Residents","2021Q3","Outbound","Visiting friends/relatives","Thousand","2223"
"Number of Nights by Irish Residents","2021Q3","Outbound","Other reasons","Thousand","839"
"Number of Nights by Irish Residents","2021Q4","Domestic","All reasons for journey","Thousand","3752"
"Number of Nights by Irish Residents","2021Q4","Domestic","Holiday","Thousand","1464"
"Number of Nights by Irish Residents","2021Q4","Domestic","Business","Thousand","164"
"Number of Nights by Irish Residents","2021Q4","Domestic","Visiting friends/relatives","Thousand","1727"
"Number of Nights by Irish Residents","2021Q4","Domestic","Other reasons","Thousand","397"
"Number of Nights by Irish Residents","2021Q4","Outbound","All reasons for journey","Thousand","7254"
"Number of Nights by Irish Residents","2021Q4","Outbound","Holiday","Thousand","3050"
"Number of Nights by Irish Residents","2021Q4","Outbound","Business","Thousand","796"
"Number of Nights by Irish Residents","2021Q4","Outbound","Visiting friends/relatives","Thousand","2714"
"Number of Nights by Irish Residents","2021Q4","Outbound","Other reasons","Thousand","693"
"Number of Nights by Irish Residents","2022Q1","Domestic","All reasons for journey","Thousand","5201"
"Number of Nights by Irish Residents","2022Q1","Domestic","Holiday","Thousand","2475"
"Number of Nights by Irish Residents","2022Q1","Domestic","Business","Thousand","146"
"Number of Nights by Irish Residents","2022Q1","Domestic","Visiting friends/relatives","Thousand","1940"
"Number of Nights by Irish Residents","2022Q1","Domestic","Other reasons","Thousand","640"
"Number of Nights by Irish Residents","2022Q1","Outbound","All reasons for journey","Thousand","6131"
"Number of Nights by Irish Residents","2022Q1","Outbound","Holiday","Thousand","3054"
"Number of Nights by Irish Residents","2022Q1","Outbound","Business","Thousand","275"
"Number of Nights by Irish Residents","2022Q1","Outbound","Visiting friends/relatives","Thousand","2482"
"Number of Nights by Irish Residents","2022Q1","Outbound","Other reasons","Thousand","321"
"Number of Nights by Irish Residents","2022Q2","Domestic","All reasons for journey","Thousand","7975"
"Number of Nights by Irish Residents","2022Q2","Domestic","Holiday","Thousand","4476"
"Number of Nights by Irish Residents","2022Q2","Domestic","Business","Thousand","461"
"Number of Nights by Irish Residents","2022Q2","Domestic","Visiting friends/relatives","Thousand","2086"
"Number of Nights by Irish Residents","2022Q2","Domestic","Other reasons","Thousand","952"
"Number of Nights by Irish Residents","2022Q2","Outbound","All reasons for journey","Thousand","17100"
"Number of Nights by Irish Residents","2022Q2","Outbound","Holiday","Thousand","9600"
"Number of Nights by Irish Residents","2022Q2","Outbound","Business","Thousand","459"
"Number of Nights by Irish Residents","2022Q2","Outbound","Visiting friends/relatives","Thousand","3994"
"Number of Nights by Irish Residents","2022Q2","Outbound","Other reasons","Thousand","3048"
"Number of Nights by Irish Residents","2022Q3","Domestic","All reasons for journey","Thousand","14084"
"Number of Nights by Irish Residents","2022Q3","Domestic","Holiday","Thousand","9468"
"Number of Nights by Irish Residents","2022Q3","Domestic","Business","Thousand","343"
"Number of Nights by Irish Residents","2022Q3","Domestic","Visiting friends/relatives","Thousand","2799"
"Number of Nights by Irish Residents","2022Q3","Domestic","Other reasons","Thousand","1474"
"Number of Nights by Irish Residents","2022Q3","Outbound","All reasons for journey","Thousand","25802"
"Number of Nights by Irish Residents","2022Q3","Outbound","Holiday","Thousand","20904"
"Number of Nights by Irish Residents","2022Q3","Outbound","Business","Thousand","321"
"Number of Nights by Irish Residents","2022Q3","Outbound","Visiting friends/relatives","Thousand","3986"
"Number of Nights by Irish Residents","2022Q3","Outbound","Other reasons","Thousand","592"
"Number of Nights by Irish Residents","2022Q4","Domestic","All reasons for journey","Thousand","6976"
"Number of Nights by Irish Residents","2022Q4","Domestic","Holiday","Thousand","2187"
"Number of Nights by Irish Residents","2022Q4","Domestic","Business","Thousand","200"
"Number of Nights by Irish Residents","2022Q4","Domestic","Visiting friends/relatives","Thousand","3582"
"Number of Nights by Irish Residents","2022Q4","Domestic","Other reasons","Thousand","1006"
"Number of Nights by Irish Residents","2022Q4","Outbound","All reasons for journey","Thousand","12726"
"Number of Nights by Irish Residents","2022Q4","Outbound","Holiday","Thousand","6846"
"Number of Nights by Irish Residents","2022Q4","Outbound","Business","Thousand","1085"
"Number of Nights by Irish Residents","2022Q4","Outbound","Visiting friends/relatives","Thousand","3588"
"Number of Nights by Irish Residents","2022Q4","Outbound","Other reasons","Thousand","1206"
"Average Length of Stay by Irish Residents","2000Q1","Domestic","All reasons for journey","Nights per Trip","3.1"
"Average Length of Stay by Irish Residents","2000Q1","Domestic","Holiday","Nights per Trip","3.1"
"Average Length of Stay by Irish Residents","2000Q1","Domestic","Business","Nights per Trip","3.2"
"Average Length of Stay by Irish Residents","2000Q1","Domestic","Visiting friends/relatives","Nights per Trip","2.7"
"Average Length of Stay by Irish Residents","2000Q1","Domestic","Other reasons","Nights per Trip","3.9"
"Average Length of Stay by Irish Residents","2000Q1","Outbound","All reasons for journey","Nights per Trip","7.7"
"Average Length of Stay by Irish Residents","2000Q1","Outbound","Holiday","Nights per Trip","8.3"
"Average Length of Stay by Irish Residents","2000Q1","Outbound","Business","Nights per Trip","5.3"
"Average Length of Stay by Irish Residents","2000Q1","Outbound","Visiting friends/relatives","Nights per Trip","8.1"
"Average Length of Stay by Irish Residents","2000Q1","Outbound","Other reasons","Nights per Trip","11"
"Average Length of Stay by Irish Residents","2000Q2","Domestic","All reasons for journey","Nights per Trip","3.7"
"Average Length of Stay by Irish Residents","2000Q2","Domestic","Holiday","Nights per Trip","4"
"Average Length of Stay by Irish Residents","2000Q2","Domestic","Business","Nights per Trip","3.2"
"Average Length of Stay by Irish Residents","2000Q2","Domestic","Visiting friends/relatives","Nights per Trip","3.5"
"Average Length of Stay by Irish Residents","2000Q2","Domestic","Other reasons","Nights per Trip","3.3"
"Average Length of Stay by Irish Residents","2000Q2","Outbound","All reasons for journey","Nights per Trip","10.3"
"Average Length of Stay by Irish Residents","2000Q2","Outbound","Holiday","Nights per Trip","11.3"
"Average Length of Stay by Irish Residents","2000Q2","Outbound","Business","Nights per Trip","6.6"
"Average Length of Stay by Irish Residents","2000Q2","Outbound","Visiting friends/relatives","Nights per Trip","8.2"
"Average Length of Stay by Irish Residents","2000Q2","Outbound","Other reasons","Nights per Trip","13"
"Average Length of Stay by Irish Residents","2000Q3","Domestic","All reasons for journey","Nights per Trip","5.1"
"Average Length of Stay by Irish Residents","2000Q3","Domestic","Holiday","Nights per Trip","6"
"Average Length of Stay by Irish Residents","2000Q3","Domestic","Business","Nights per Trip","3.7"
"Average Length of Stay by Irish Residents","2000Q3","Domestic","Visiting friends/relatives","Nights per Trip","3.8"
"Average Length of Stay by Irish Residents","2000Q3","Domestic","Other reasons","Nights per Trip","2.9"
"Average Length of Stay by Irish Residents","2000Q3","Outbound","All reasons for journey","Nights per Trip","11.1"
"Average Length of Stay by Irish Residents","2000Q3","Outbound","Holiday","Nights per Trip","12.2"
"Average Length of Stay by Irish Residents","2000Q3","Outbound","Business","Nights per Trip","8.1"
"Average Length of Stay by Irish Residents","2000Q3","Outbound","Visiting friends/relatives","Nights per Trip","7.4"
"Average Length of Stay by Irish Residents","2000Q3","Outbound","Other reasons","Nights per Trip","10.8"
"Average Length of Stay by Irish Residents","2000Q4","Domestic","All reasons for journey","Nights per Trip","2.8"
"Average Length of Stay by Irish Residents","2000Q4","Domestic","Holiday","Nights per Trip","3"
"Average Length of Stay by Irish Residents","2000Q4","Domestic","Business","Nights per Trip","2.3"
"Average Length of Stay by Irish Residents","2000Q4","Domestic","Visiting friends/relatives","Nights per Trip","2.8"
"Average Length of Stay by Irish Residents","2000Q4","Domestic","Other reasons","Nights per Trip","2.6"
"Average Length of Stay by Irish Residents","2000Q4","Outbound","All reasons for journey","Nights per Trip","7.5"
"Average Length of Stay by Irish Residents","2000Q4","Outbound","Holiday","Nights per Trip","8.7"
"Average Length of Stay by Irish Residents","2000Q4","Outbound","Business","Nights per Trip","4.6"
"Average Length of Stay by Irish Residents","2000Q4","Outbound","Visiting friends/relatives","Nights per Trip","7.3"
"Average Length of Stay by Irish Residents","2000Q4","Outbound","Other reasons","Nights per Trip","8"
"Average Length of Stay by Irish Residents","2001Q1","Domestic","All reasons for journey","Nights per Trip","2.7"
"Average Length of Stay by Irish Residents","2001Q1","Domestic","Holiday","Nights per Trip","2.8"
"Average Length of Stay by Irish Residents","2001Q1","Domestic","Business","Nights per Trip","2.6"
"Average Length of Stay by Irish Residents","2001Q1","Domestic","Visiting friends/relatives","Nights per Trip","2.5"
"Average Length of Stay by Irish Residents","2001Q1","Domestic","Other reasons","Nights per Trip","3.3"
"Average Length of Stay by Irish Residents","2001Q1","Outbound","All reasons for journey","Nights per Trip","7.2"
"Average Length of Stay by Irish Residents","2001Q1","Outbound","Holiday","Nights per Trip","8.3"
"Average Length of Stay by Irish Residents","2001Q1","Outbound","Business","Nights per Trip","4.8"
"Average Length of Stay by Irish Residents","2001Q1","Outbound","Visiting friends/relatives","Nights per Trip","6.6"
"Average Length of Stay by Irish Residents","2001Q1","Outbound","Other reasons","Nights per Trip","10.4"
"Average Length of Stay by Irish Residents","2001Q2","Domestic","All reasons for journey","Nights per Trip","3.4"
"Average Length of Stay by Irish Residents","2001Q2","Domestic","Holiday","Nights per Trip","4"
"Average Length of Stay by Irish Residents","2001Q2","Domestic","Business","Nights per Trip","2.5"
"Average Length of Stay by Irish Residents","2001Q2","Domestic","Visiting friends/relatives","Nights per Trip","2.8"
"Average Length of Stay by Irish Residents","2001Q2","Domestic","Other reasons","Nights per Trip","3.4"
"Average Length of Stay by Irish Residents","2001Q2","Outbound","All reasons for journey","Nights per Trip","10.1"
"Average Length of Stay by Irish Residents","2001Q2","Outbound","Holiday","Nights per Trip","11.3"
"Average Length of Stay by Irish Residents","2001Q2","Outbound","Business","Nights per Trip","5.8"
"Average Length of Stay by Irish Residents","2001Q2","Outbound","Visiting friends/relatives","Nights per Trip","7"
"Average Length of Stay by Irish Residents","2001Q2","Outbound","Other reasons","Nights per Trip","13.5"
"Average Length of Stay by Irish Residents","2001Q3","Domestic","All reasons for journey","Nights per Trip","5.1"
"Average Length of Stay by Irish Residents","2001Q3","Domestic","Holiday","Nights per Trip","6.2"
"Average Length of Stay by Irish Residents","2001Q3","Domestic","Business","Nights per Trip","3.4"
"Average Length of Stay by Irish Residents","2001Q3","Domestic","Visiting friends/relatives","Nights per Trip","3.3"
"Average Length of Stay by Irish Residents","2001Q3","Domestic","Other reasons","Nights per Trip","4.1"
"Average Length of Stay by Irish Residents","2001Q3","Outbound","All reasons for journey","Nights per Trip","10.7"
"Average Length of Stay by Irish Residents","2001Q3","Outbound","Holiday","Nights per Trip","11.6"
"Average Length of Stay by Irish Residents","2001Q3","Outbound","Business","Nights per Trip","7.1"
"Average Length of Stay by Irish Residents","2001Q3","Outbound","Visiting friends/relatives","Nights per Trip","8.8"
"Average Length of Stay by Irish Residents","2001Q3","Outbound","Other reasons","Nights per Trip","10.1"
"Average Length of Stay by Irish Residents","2001Q4","Domestic","All reasons for journey","Nights per Trip","2.7"
"Average Length of Stay by Irish Residents","2001Q4","Domestic","Holiday","Nights per Trip","2.9"
"Average Length of Stay by Irish Residents","2001Q4","Domestic","Business","Nights per Trip","2.5"
"Average Length of Stay by Irish Residents","2001Q4","Domestic","Visiting friends/relatives","Nights per Trip","2.7"
"Average Length of Stay by Irish Residents","2001Q4","Domestic","Other reasons","Nights per Trip","2.8"
"Average Length of Stay by Irish Residents","2001Q4","Outbound","All reasons for journey","Nights per Trip","7.1"
"Average Length of Stay by Irish Residents","2001Q4","Outbound","Holiday","Nights per Trip","8.1"
"Average Length of Stay by Irish Residents","2001Q4","Outbound","Business","Nights per Trip","4.5"
"Average Length of Stay by Irish Residents","2001Q4","Outbound","Visiting friends/relatives","Nights per Trip","6.9"
"Average Length of Stay by Irish Residents","2001Q4","Outbound","Other reasons","Nights per Trip","6.7"
"Average Length of Stay by Irish Residents","2002Q1","Domestic","All reasons for journey","Nights per Trip","2.7"
"Average Length of Stay by Irish Residents","2002Q1","Domestic","Holiday","Nights per Trip","2.9"
"Average Length of Stay by Irish Residents","2002Q1","Domestic","Business","Nights per Trip","2.4"
"Average Length of Stay by Irish Residents","2002Q1","Domestic","Visiting friends/relatives","Nights per Trip","2.4"
"Average Length of Stay by Irish Residents","2002Q1","Domestic","Other reasons","Nights per Trip","3.2"
"Average Length of Stay by Irish Residents","2002Q1","Outbound","All reasons for journey","Nights per Trip","7.1"
"Average Length of Stay by Irish Residents","2002Q1","Outbound","Holiday","Nights per Trip","7.7"
"Average Length of Stay by Irish Residents","2002Q1","Outbound","Business","Nights per Trip","4.2"
"Average Length of Stay by Irish Residents","2002Q1","Outbound","Visiting friends/relatives","Nights per Trip","7.3"
"Average Length of Stay by Irish Residents","2002Q1","Outbound","Other reasons","Nights per Trip","9.3"
"Average Length of Stay by Irish Residents","2002Q2","Domestic","All reasons for journey","Nights per Trip","3.2"
"Average Length of Stay by Irish Residents","2002Q2","Domestic","Holiday","Nights per Trip","3.6"
"Average Length of Stay by Irish Residents","2002Q2","Domestic","Business","Nights per Trip","3.2"
"Average Length of Stay by Irish Residents","2002Q2","Domestic","Visiting friends/relatives","Nights per Trip","2.5"
"Average Length of Stay by Irish Residents","2002Q2","Domestic","Other reasons","Nights per Trip","3.6"
"Average Length of Stay by Irish Residents","2002Q2","Outbound","All reasons for journey","Nights per Trip","9.4"
"Average Length of Stay by Irish Residents","2002Q2","Outbound","Holiday","Nights per Trip","10.5"
"Average Length of Stay by Irish Residents","2002Q2","Outbound","Business","Nights per Trip","5.6"
"Average Length of Stay by Irish Residents","2002Q2","Outbound","Visiting friends/relatives","Nights per Trip","7.3"
"Average Length of Stay by Irish Residents","2002Q2","Outbound","Other reasons","Nights per Trip","10.9"
"Average Length of Stay by Irish Residents","2002Q3","Domestic","All reasons for journey","Nights per Trip","4.7"
"Average Length of Stay by Irish Residents","2002Q3","Domestic","Holiday","Nights per Trip","5.9"
"Average Length of Stay by Irish Residents","2002Q3","Domestic","Business","Nights per Trip","3.1"
"Average Length of Stay by Irish Residents","2002Q3","Domestic","Visiting friends/relatives","Nights per Trip","3.2"
"Average Length of Stay by Irish Residents","2002Q3","Domestic","Other reasons","Nights per Trip","3.3"
"Average Length of Stay by Irish Residents","2002Q3","Outbound","All reasons for journey","Nights per Trip","10.6"
"Average Length of Stay by Irish Residents","2002Q3","Outbound","Holiday","Nights per Trip","11.5"
"Average Length of Stay by Irish Residents","2002Q3","Outbound","Business","Nights per Trip","6.7"
"Average Length of Stay by Irish Residents","2002Q3","Outbound","Visiting friends/relatives","Nights per Trip","8.5"
"Average Length of Stay by Irish Residents","2002Q3","Outbound","Other reasons","Nights per Trip","9.6"
"Average Length of Stay by Irish Residents","2002Q4","Domestic","All reasons for journey","Nights per Trip","2.6"
"Average Length of Stay by Irish Residents","2002Q4","Domestic","Holiday","Nights per Trip","2.8"
"Average Length of Stay by Irish Residents","2002Q4","Domestic","Business","Nights per Trip","2.6"
"Average Length of Stay by Irish Residents","2002Q4","Domestic","Visiting friends/relatives","Nights per Trip","2.6"
"Average Length of Stay by Irish Residents","2002Q4","Domestic","Other reasons","Nights per Trip","2.4"
"Average Length of Stay by Irish Residents","2002Q4","Outbound","All reasons for journey","Nights per Trip","7.1"
"Average Length of Stay by Irish Residents","2002Q4","Outbound","Holiday","Nights per Trip","8"
"Average Length of Stay by Irish Residents","2002Q4","Outbound","Business","Nights per Trip","4.6"
"Average Length of Stay by Irish Residents","2002Q4","Outbound","Visiting friends/relatives","Nights per Trip","7"
"Average Length of Stay by Irish Residents","2002Q4","Outbound","Other reasons","Nights per Trip","6.5"
"Average Length of Stay by Irish Residents","2003Q1","Domestic","All reasons for journey","Nights per Trip","2.6"
"Average Length of Stay by Irish Residents","2003Q1","Domestic","Holiday","Nights per Trip","2.7"
"Average Length of Stay by Irish Residents","2003Q1","Domestic","Business","Nights per Trip","2.7"
"Average Length of Stay by Irish Residents","2003Q1","Domestic","Visiting friends/relatives","Nights per Trip","2.4"
"Average Length of Stay by Irish Residents","2003Q1","Domestic","Other reasons","Nights per Trip","3.2"
"Average Length of Stay by Irish Residents","2003Q1","Outbound","All reasons for journey","Nights per Trip","6.8"
"Average Length of Stay by Irish Residents","2003Q1","Outbound","Holiday","Nights per Trip","7.3"
"Average Length of Stay by Irish Residents","2003Q1","Outbound","Business","Nights per Trip","5"
"Average Length of Stay by Irish Residents","2003Q1","Outbound","Visiting friends/relatives","Nights per Trip","6"
"Average Length of Stay by Irish Residents","2003Q1","Outbound","Other reasons","Nights per Trip","8.5"
"Average Length of Stay by Irish Residents","2003Q2","Domestic","All reasons for journey","Nights per Trip","3"
"Average Length of Stay by Irish Residents","2003Q2","Domestic","Holiday","Nights per Trip","3.5"
"Average Length of Stay by Irish Residents","2003Q2","Domestic","Business","Nights per Trip","3"
"Average Length of Stay by Irish Residents","2003Q2","Domestic","Visiting friends/relatives","Nights per Trip","2.5"
"Average Length of Stay by Irish Residents","2003Q2","Domestic","Other reasons","Nights per Trip","3.1"
"Average Length of Stay by Irish Residents","2003Q2","Outbound","All reasons for journey","Nights per Trip","9.3"
"Average Length of Stay by Irish Residents","2003Q2","Outbound","Holiday","Nights per Trip","10.3"
"Average Length of Stay by Irish Residents","2003Q2","Outbound","Business","Nights per Trip","5.4"
"Average Length of Stay by Irish Residents","2003Q2","Outbound","Visiting friends/relatives","Nights per Trip","6.2"
"Average Length of Stay by Irish Residents","2003Q2","Outbound","Other reasons","Nights per Trip","12.4"
"Average Length of Stay by Irish Residents","2003Q3","Domestic","All reasons for journey","Nights per Trip","5"
"Average Length of Stay by Irish Residents","2003Q3","Domestic","Holiday","Nights per Trip","6.3"
"Average Length of Stay by Irish Residents","2003Q3","Domestic","Business","Nights per Trip","3"
"Average Length of Stay by Irish Residents","2003Q3","Domestic","Visiting friends/relatives","Nights per Trip","3.3"
"Average Length of Stay by Irish Residents","2003Q3","Domestic","Other reasons","Nights per Trip","3"
"Average Length of Stay by Irish Residents","2003Q3","Outbound","All reasons for journey","Nights per Trip","10.5"
"Average Length of Stay by Irish Residents","2003Q3","Outbound","Holiday","Nights per Trip","11.5"
"Average Length of Stay by Irish Residents","2003Q3","Outbound","Business","Nights per Trip","6.6"
"Average Length of Stay by Irish Residents","2003Q3","Outbound","Visiting friends/relatives","Nights per Trip","8.2"
"Average Length of Stay by Irish Residents","2003Q3","Outbound","Other reasons","Nights per Trip","10"
"Average Length of Stay by Irish Residents","2003Q4","Domestic","All reasons for journey","Nights per Trip","3"
"Average Length of Stay by Irish Residents","2003Q4","Domestic","Holiday","Nights per Trip","3.2"
"Average Length of Stay by Irish Residents","2003Q4","Domestic","Business","Nights per Trip","2.9"
"Average Length of Stay by Irish Residents","2003Q4","Domestic","Visiting friends/relatives","Nights per Trip","3.1"
"Average Length of Stay by Irish Residents","2003Q4","Domestic","Other reasons","Nights per Trip","2"
"Average Length of Stay by Irish Residents","2003Q4","Outbound","All reasons for journey","Nights per Trip","7.4"
"Average Length of Stay by Irish Residents","2003Q4","Outbound","Holiday","Nights per Trip","8.1"
"Average Length of Stay by Irish Residents","2003Q4","Outbound","Business","Nights per Trip","5"
"Average Length of Stay by Irish Residents","2003Q4","Outbound","Visiting friends/relatives","Nights per Trip","7.3"
"Average Length of Stay by Irish Residents","2003Q4","Outbound","Other reasons","Nights per Trip","7.2"
"Average Length of Stay by Irish Residents","2004Q1","Domestic","All reasons for journey","Nights per Trip","2.6"
"Average Length of Stay by Irish Residents","2004Q1","Domestic","Holiday","Nights per Trip","2.8"
"Average Length of Stay by Irish Residents","2004Q1","Domestic","Business","Nights per Trip","2.5"
"Average Length of Stay by Irish Residents","2004Q1","Domestic","Visiting friends/relatives","Nights per Trip","2.4"
"Average Length of Stay by Irish Residents","2004Q1","Domestic","Other reasons","Nights per Trip","3.2"
"Average Length of Stay by Irish Residents","2004Q1","Outbound","All reasons for journey","Nights per Trip","7.1"
"Average Length of Stay by Irish Residents","2004Q1","Outbound","Holiday","Nights per Trip","8.1"
"Average Length of Stay by Irish Residents","2004Q1","Outbound","Business","Nights per Trip","4.5"
"Average Length of Stay by Irish Residents","2004Q1","Outbound","Visiting friends/relatives","Nights per Trip","6.9"
"Average Length of Stay by Irish Residents","2004Q1","Outbound","Other reasons","Nights per Trip","6.8"
"Average Length of Stay by Irish Residents","2004Q2","Domestic","All reasons for journey","Nights per Trip","3.1"
"Average Length of Stay by Irish Residents","2004Q2","Domestic","Holiday","Nights per Trip","3.4"
"Average Length of Stay by Irish Residents","2004Q2","Domestic","Business","Nights per Trip","2.8"
"Average Length of Stay by Irish Residents","2004Q2","Domestic","Visiting friends/relatives","Nights per Trip","2.5"
"Average Length of Stay by Irish Residents","2004Q2","Domestic","Other reasons","Nights per Trip","3.6"
"Average Length of Stay by Irish Residents","2004Q2","Outbound","All reasons for journey","Nights per Trip","8.9"
"Average Length of Stay by Irish Residents","2004Q2","Outbound","Holiday","Nights per Trip","10"
"Average Length of Stay by Irish Residents","2004Q2","Outbound","Business","Nights per Trip","5.2"
"Average Length of Stay by Irish Residents","2004Q2","Outbound","Visiting friends/relatives","Nights per Trip","7.6"
"Average Length of Stay by Irish Residents","2004Q2","Outbound","Other reasons","Nights per Trip","7.2"
"Average Length of Stay by Irish Residents","2004Q3","Domestic","All reasons for journey","Nights per Trip","4.9"
"Average Length of Stay by Irish Residents","2004Q3","Domestic","Holiday","Nights per Trip","6.1"
"Average Length of Stay by Irish Residents","2004Q3","Domestic","Business","Nights per Trip","3.2"
"Average Length of Stay by Irish Residents","2004Q3","Domestic","Visiting friends/relatives","Nights per Trip","3.2"
"Average Length of Stay by Irish Residents","2004Q3","Domestic","Other reasons","Nights per Trip","3.5"
"Average Length of Stay by Irish Residents","2004Q3","Outbound","All reasons for journey","Nights per Trip","10.4"
"Average Length of Stay by Irish Residents","2004Q3","Outbound","Holiday","Nights per Trip","11.4"
"Average Length of Stay by Irish Residents","2004Q3","Outbound","Business","Nights per Trip","6.4"
"Average Length of Stay by Irish Residents","2004Q3","Outbound","Visiting friends/relatives","Nights per Trip","8.1"
"Average Length of Stay by Irish Residents","2004Q3","Outbound","Other reasons","Nights per Trip","8.6"
"Average Length of Stay by Irish Residents","2004Q4","Domestic","All reasons for journey","Nights per Trip","2.7"
"Average Length of Stay by Irish Residents","2004Q4","Domestic","Holiday","Nights per Trip","3.1"
